CurrencyPrimary,AssetClass,Symbol,CUSIP,ISIN,UnderlyingSymbol
EUR,STK,ADS,,DE000A1EWWW0,ADS
EUR,STK,KER,,FR0000121485,KER
USD,STK,AAPL,37833100,US0378331005,AAPL
USD,STK,ABNB,9066101,US0090661010,ABNB
USD,STK,AMZN,23135106,US0231351067,AMZN
USD,STK,ASML,,USN070592100,ASML
USD,STK,AVGO,11135F101,US11135F1012,AVGO
USD,STK,BRK-B,84670702,US0846707026,BRK B
USD,STK,COST,22160K105,US22160K1051,COST
USD,STK,CRCL,172573107,US1725731079,CRCL
USD,STK,DASH,25809K105,US25809K1051,DASH
USD,STK,EL,518439104,US5184391044,EL
USD,STK,EWH,464286871,US4642868719,EWH
USD,STK,EWZ,464286400,US4642864007,EWZ
USD,STK,FTNT,34959E109,US34959E1091,FTNT
USD,STK,GRAB,,KYG4124C1096,GRAB
USD,STK,IBIT,46438F101,US46438F1012,IBIT
USD,STK,IBKR,45841N107,US45841N1072,IBKR
USD,STK,IEF,464287440,US4642874402,IEF
USD,STK,LULU,550021109,US5500211090,LULU
USD,STK,META,30303M102,US30303M1027,META
USD,STK,MRNA,60770K107,US60770K1079,MRNA
USD,STK,MSFT,594918104,US5949181045,MSFT
USD,STK,NFLX,64110L106,US64110L1061,NFLX
USD,STK,NVAX,670002401,US6700024010,NVAX
USD,STK,PFE,717081103,US7170811035,PFE
USD,STK,QQQ,46090E103,US46090E1038,QQQ
USD,STK,RSX,92189F403,US92189F4037,RSX
USD,STK,SE,81141R100,US81141R1005,SE
USD,STK,THD,464286624,US4642866242,THD
USD,STK,TLT,464287432,US4642874329,TLT
USD,STK,UNH,91324P102,US91324P1021,UNH
USD,STK,USO,91232N207,US91232N2071,USO
USD,STK,UUP,46141D203,US46141D2036,UUP
USD,STK,V,92826C839,US92826C8394,V
USD,STK,VIPS,92763W103,US92763W1036,VIPS
USD,STK,XBI,78464A870,US78464A8707,XBI
USD,STK,XLV,81369Y209,US81369Y2090,XLV
USD,STK,XYZ,852234103,US8522341036,XYZ
